From,To,Type
PRT-011,MLT-029,Project_to_Milestone
PRT-011,MLT-030,Project_to_Milestone
PRT-011,MLT-031,Project_to_Milestone
PRT-011,MLT-032,Project_to_Milestone
PRT-011,MLT-033,Project_to_Milestone
PRT-011,TSK-106,Project_to_Task
PRT-011,TSK-107,Project_to_Task
PRT-011,TSK-108,Project_to_Task
PRT-011,TSK-109,Project_to_Task
PRT-011,TSK-110,Project_to_Task
PRT-011,TSK-111,Project_to_Task
PRT-011,TSK-112,Project_to_Task
PRT-011,TSK-113,Project_to_Task
PRT-011,TSK-114,Project_to_Task
PRT-011,TSK-115,Project_to_Task
PRT-012,MLT-034,Project_to_Milestone
PRT-012,MLT-035,Project_to_Milestone
PRT-012,MLT-036,Project_to_Milestone
PRT-012,MLT-037,Project_to_Milestone
PRT-012,MLT-038,Project_to_Milestone
PRT-012,MLT-039,Project_to_Milestone
PRT-012,TSK-116,Project_to_Task
PRT-012,TSK-117,Project_to_Task
PRT-012,TSK-118,Project_to_Task
PRT-012,TSK-119,Project_to_Task
PRT-012,TSK-120,Project_to_Task
PRT-012,TSK-121,Project_to_Task
PRT-012,TSK-122,Project_to_Task
PRT-013,TSK-123,Project_to_Task
PRT-013,TSK-124,Project_to_Task
PRT-013,TSK-125,Project_to_Task
PRT-013,TSK-126,Project_to_Task
PRT-013,TSK-127,Project_to_Task
PRT-014,TSK-128,Project_to_Task
PRT-014,TSK-129,Project_to_Task
PRT-014,TSK-130,Project_to_Task
PRT-014,TSK-131,Project_to_Task
PRT-014,TSK-132,Project_to_Task
PRT-014,TSK-133,Project_to_Task
PRT-014,TSK-134,Project_to_Task
PRT-014,TSK-135,Project_to_Task
PRT-014,TSK-136,Project_to_Task
PRT-014,TSK-137,Project_to_Task
PRT-014,TSK-138,Project_to_Task
PRT-014,TSK-139,Project_to_Task
PRT-015,TSK-140,Project_to_Task
PRT-015,TSK-141,Project_to_Task
PRT-015,TSK-142,Project_to_Task
PRT-015,TSK-143,Project_to_Task
PRT-015,TSK-144,Project_to_Task
PRT-015,TSK-145,Project_to_Task
PRT-015,TSK-146,Project_to_Task
PRT-015,TSK-147,Project_to_Task
PRT-015,TSK-148,Project_to_Task
PRT-015,TSK-149,Project_to_Task
PRT-016,TSK-150,Project_to_Task
PRT-016,TSK-151,Project_to_Task
PRT-016,TSK-152,Project_to_Task
PRT-016,TSK-153,Project_to_Task
PRT-016,TSK-154,Project_to_Task
PRT-016,TSK-155,Project_to_Task
PRT-016,TSK-156,Project_to_Task
PRT-017,TSK-157,Project_to_Task
PRT-017,TSK-158,Project_to_Task
PRT-017,TSK-159,Project_to_Task
PRT-017,TSK-160,Project_to_Task
PRT-017,TSK-161,Project_to_Task
PRT-017,TSK-162,Project_to_Task
PRT-011,MLT-029,Project_to_Milestone
PRT-011,MLT-030,Project_to_Milestone
PRT-011,MLT-031,Project_to_Milestone
PRT-011,MLT-032,Project_to_Milestone
PRT-011,MLT-033,Project_to_Milestone
PRT-012,MLT-034,Project_to_Milestone
PRT-012,MLT-035,Project_to_Milestone
PRT-012,MLT-036,Project_to_Milestone
PRT-012,MLT-037,Project_to_Milestone
PRT-012,MLT-038,Project_to_Milestone
PRT-012,MLT-039,Project_to_Milestone
PRT-011,TSK-106,Project_to_Task
MLT-033,TSK-106,Milestone_to_Task
PRT-011,TSK-107,Project_to_Task
MLT-033,TSK-107,Milestone_to_Task
PRT-011,TSK-108,Project_to_Task
MLT-033,TSK-108,Milestone_to_Task
PRT-011,TSK-109,Project_to_Task
MLT-033,TSK-109,Milestone_to_Task
PRT-011,TSK-110,Project_to_Task
MLT-033,TSK-110,Milestone_to_Task
PRT-011,TSK-111,Project_to_Task
MLT-033,TSK-111,Milestone_to_Task
PRT-011,TSK-112,Project_to_Task
MLT-033,TSK-112,Milestone_to_Task
PRT-011,TSK-113,Project_to_Task
MLT-033,TSK-113,Milestone_to_Task
PRT-011,TSK-114,Project_to_Task
MLT-033,TSK-114,Milestone_to_Task
PRT-011,TSK-115,Project_to_Task
MLT-033,TSK-115,Milestone_to_Task
PRT-012,TSK-116,Project_to_Task
MLT-039,TSK-116,Milestone_to_Task
PRT-012,TSK-117,Project_to_Task
MLT-039,TSK-117,Milestone_to_Task
PRT-012,TSK-118,Project_to_Task
MLT-039,TSK-118,Milestone_to_Task
PRT-012,TSK-119,Project_to_Task
MLT-039,TSK-119,Milestone_to_Task
PRT-012,TSK-120,Project_to_Task
MLT-039,TSK-120,Milestone_to_Task
PRT-012,TSK-121,Project_to_Task
MLT-039,TSK-121,Milestone_to_Task
PRT-012,TSK-122,Project_to_Task
MLT-039,TSK-122,Milestone_to_Task
PRT-013,TSK-123,Project_to_Task
MLT-039,TSK-123,Milestone_to_Task
PRT-013,TSK-124,Project_to_Task
MLT-039,TSK-124,Milestone_to_Task
PRT-013,TSK-125,Project_to_Task
MLT-039,TSK-125,Milestone_to_Task
PRT-013,TSK-126,Project_to_Task
MLT-039,TSK-126,Milestone_to_Task
PRT-013,TSK-127,Project_to_Task
MLT-039,TSK-127,Milestone_to_Task
PRT-014,TSK-128,Project_to_Task
PRT-014,TSK-129,Project_to_Task
PRT-014,TSK-130,Project_to_Task
PRT-014,TSK-131,Project_to_Task
PRT-014,TSK-132,Project_to_Task
PRT-014,TSK-133,Project_to_Task
PRT-014,TSK-134,Project_to_Task
PRT-014,TSK-135,Project_to_Task
PRT-014,TSK-136,Project_to_Task
PRT-014,TSK-137,Project_to_Task
PRT-014,TSK-138,Project_to_Task
PRT-014,TSK-139,Project_to_Task
PRT-015,TSK-140,Project_to_Task
PRT-015,TSK-141,Project_to_Task
PRT-015,TSK-142,Project_to_Task
PRT-015,TSK-143,Project_to_Task
PRT-015,TSK-144,Project_to_Task
PRT-015,TSK-145,Project_to_Task
PRT-015,TSK-146,Project_to_Task
PRT-015,TSK-147,Project_to_Task
PRT-015,TSK-148,Project_to_Task
PRT-015,TSK-149,Project_to_Task
PRT-016,TSK-150,Project_to_Task
PRT-016,TSK-151,Project_to_Task
PRT-016,TSK-152,Project_to_Task
PRT-016,TSK-153,Project_to_Task
PRT-016,TSK-154,Project_to_Task
PRT-016,TSK-155,Project_to_Task
PRT-016,TSK-156,Project_to_Task
PRT-017,TSK-157,Project_to_Task
PRT-017,TSK-158,Project_to_Task
PRT-017,TSK-159,Project_to_Task
PRT-017,TSK-160,Project_to_Task
PRT-017,TSK-161,Project_to_Task
PRT-017,TSK-162,Project_to_Task
PRT-004,MLT-019,Project_to_Milestone
PRT-004,MLT-020,Project_to_Milestone
PRT-004,MLT-021,Project_to_Milestone
PRT-004,MLT-022,Project_to_Milestone
PRT-005,MLT-023,Project_to_Milestone
PRT-005,MLT-024,Project_to_Milestone
PRT-005,MLT-025,Project_to_Milestone
PRT-005,TSK-062,Project_to_Task
PRT-007,TSK-078,Project_to_Task
PRT-007,TSK-079,Project_to_Task
PRT-008,MLT-026,Project_to_Milestone
PRT-008,MLT-027,Project_to_Milestone
PRT-009,TSK-037,Project_to_Task
PRT-009,TSK-038,Project_to_Task
PRT-009,TSK-039,Project_to_Task
PRT-009,TSK-040,Project_to_Task
PRT-009,TSK-041,Project_to_Task
PRT-009,TSK-042,Project_to_Task
PRT-010,TSK-097,Project_to_Task
PRT-010,TSK-098,Project_to_Task
PRT-010,TSK-099,Project_to_Task
PRT-010,TSK-100,Project_to_Task
PRT-010,TSK-049,Project_to_Task
PRT-010,TSK-101,Project_to_Task
PRT-010,TSK-102,Project_to_Task
PRT-010,TSK-103,Project_to_Task
PRT-010,TSK-104,Project_to_Task
MLT-022,TSK-030,Milestone_to_Task
MLT-022,TSK-031,Milestone_to_Task
MLT-022,TSK-032,Milestone_to_Task
MLT-022,TSK-033,Milestone_to_Task
MLT-022,TSK-034,Milestone_to_Task
MLT-022,TSK-035,Milestone_to_Task
MLT-022,TSK-036,Milestone_to_Task
PRT-009,TSK-037,Project_to_Task
MLT-022,TSK-037,Milestone_to_Task
PRT-009,TSK-038,Project_to_Task
MLT-022,TSK-038,Milestone_to_Task
PRT-009,TSK-039,Project_to_Task
MLT-022,TSK-039,Milestone_to_Task
PRT-009,TSK-040,Project_to_Task
MLT-022,TSK-040,Milestone_to_Task
PRT-009,TSK-041,Project_to_Task
MLT-022,TSK-041,Milestone_to_Task
PRT-009,TSK-042,Project_to_Task
MLT-022,TSK-042,Milestone_to_Task
MLT-022,TSK-043,Milestone_to_Task
MLT-022,TSK-044,Milestone_to_Task
MLT-022,TSK-045,Milestone_to_Task
PRT-010,TSK-049,Project_to_Task
PRT-005,TSK-062,Project_to_Task
PRT-001,MLT-010,Project_to_Milestone
PRT-001,MLT-011,Project_to_Milestone
PRT-001,MLT-012,Project_to_Milestone
PRT-002,MLT-013,Project_to_Milestone
PRT-002,MLT-014,Project_to_Milestone
PRT-002,MLT-015,Project_to_Milestone
PRT-002,TSK-011,Project_to_Task
PRT-002,TSK-014,Project_to_Task
PRT-003,MLT-016,Project_to_Milestone
PRT-003,MLT-017,Project_to_Milestone
PRT-003,MLT-018,Project_to_Milestone
PRT-003,TSK-016,Project_to_Task
PRT-003,TSK-021,Project_to_Task
PRT-003,TSK-003,Project_to_Task
PRT-003,TSK-004,Project_to_Task
